Code INSEE,Année,Gagnant réel,Gagnant prédit,Bonne prédiction
33818,2017,Marine LE PEN,Marine LE PEN,True
29466,2017,François FILLON,Emmanuel MACRON,False
32443,2022,Emmanuel MACRON,Jean-Luc MÉLENCHON,False
34148,2017,Marine LE PEN,Marine LE PEN,True
17978,2022,Emmanuel MACRON,Emmanuel MACRON,True
27451,2017,François FILLON,François FILLON,True
30770,2022,Emmanuel MACRON,Emmanuel MACRON,True
16516,2017,Emmanuel MACRON,Emmanuel MACRON,True
5279,2022,Marine LE PEN,Marine LE PEN,True
10088,2022,Marine LE PEN,Marine LE PEN,True
10977,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
7370,2017,Emmanuel MACRON,Emmanuel MACRON,True
18883,2017,Marine LE PEN,Marine LE PEN,True
30312,2017,Marine LE PEN,Marine LE PEN,True
30877,2022,Emmanuel MACRON,Emmanuel MACRON,True
25416,2022,Emmanuel MACRON,Emmanuel MACRON,True
297,2022,Emmanuel MACRON,Emmanuel MACRON,True
9904,2017,Marine LE PEN,Marine LE PEN,True
25490,2017,François FILLON,Emmanuel MACRON,False
5548,2017,Marine LE PEN,Marine LE PEN,True
980,2017,Marine LE PEN,Marine LE PEN,True
35579,2017,Emmanuel MACRON,Emmanuel MACRON,True
2192,2022,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
25947,2022,Emmanuel MACRON,Emmanuel MACRON,True
13310,2022,Marine LE PEN,Marine LE PEN,True
2522,2017,Marine LE PEN,Marine LE PEN,True
30604,2017,Marine LE PEN,Marine LE PEN,True
22665,2017,François FILLON,François FILLON,True
3367,2017,Marine LE PEN,Marine LE PEN,True
30200,2017,Marine LE PEN,Marine LE PEN,True
25773,2017,Emmanuel MACRON,Emmanuel MACRON,True
7463,2017,François FILLON,Emmanuel MACRON,False
17095,2022,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
2630,2022,Marine LE PEN,Marine LE PEN,True
2666,2022,Marine LE PEN,Marine LE PEN,True
7186,2017,Emmanuel MACRON,Emmanuel MACRON,True
33969,2017,Marine LE PEN,Marine LE PEN,True
34898,2017,Marine LE PEN,Marine LE PEN,True
12534,2022,Marine LE PEN,Marine LE PEN,True
9690,2017,Marine LE PEN,Marine LE PEN,True
2417,2022,Marine LE PEN,Marine LE PEN,True
6956,2022,Emmanuel MACRON,Emmanuel MACRON,True
