Code INSEE,Année,Gagnant réel,Gagnant prédit,Bonne prédiction
23667,2022,Marine LE PEN,Marine LE PEN,True
23668,2022,Marine LE PEN,Marine LE PEN,True
23669,2022,Marine LE PEN,Marine LE PEN,True
23670,2022,Emmanuel MACRON,François FILLON,False
23671,2022,Emmanuel MACRON,François FILLON,False
23672,2022,Marine LE PEN,Marine LE PEN,True
23674,2022,Marine LE PEN,Marine LE PEN,True
23675,2022,Marine LE PEN,Marine LE PEN,True
23676,2022,Marine LE PEN,Marine LE PEN,True
23677,2022,Marine LE PEN,Marine LE PEN,True
23678,2022,Emmanuel MACRON,François FILLON,False
23679,2022,Emmanuel MACRON,François FILLON,False
23680,2022,Marine LE PEN,Marine LE PEN,True
23681,2022,Emmanuel MACRON,François FILLON,False
23682,2022,Emmanuel MACRON,François FILLON,False
23683,2022,Marine LE PEN,Marine LE PEN,True
23684,2022,Emmanuel MACRON,François FILLON,False
23685,2022,Marine LE PEN,Marine LE PEN,True
23686,2022,Marine LE PEN,Marine LE PEN,True
23687,2022,Emmanuel MACRON,François FILLON,False
23688,2022,Emmanuel MACRON,François FILLON,False
23689,2022,Marine LE PEN,Marine LE PEN,True
23690,2022,Emmanuel MACRON,François FILLON,False
23691,2022,Emmanuel MACRON,François FILLON,False
23692,2022,Emmanuel MACRON,François FILLON,False
23693,2022,Marine LE PEN,Marine LE PEN,True
23694,2022,Emmanuel MACRON,François FILLON,False
23695,2022,Emmanuel MACRON,François FILLON,False
23696,2022,Emmanuel MACRON,François FILLON,False
23697,2022,Emmanuel MACRON,François FILLON,False
23698,2022,Emmanuel MACRON,François FILLON,False
23699,2022,Emmanuel MACRON,François FILLON,False
23700,2022,Marine LE PEN,Marine LE PEN,True
23701,2022,Emmanuel MACRON,François FILLON,False
23702,2022,Emmanuel MACRON,François FILLON,False
23703,2022,Marine LE PEN,Marine LE PEN,True
23704,2022,Emmanuel MACRON,François FILLON,False
23705,2022,Emmanuel MACRON,François FILLON,False
