Code INSEE,Année,Gagnant réel,Gagnant prédit,Bonne prédiction
26098,2017,Marine LE PEN,Marine LE PEN,True
237,2017,Marine LE PEN,Marine LE PEN,True
29451,2017,Marine LE PEN,Marine LE PEN,True
7889,2017,Emmanuel MACRON,Emmanuel MACRON,True
7762,2017,Emmanuel MACRON,François FILLON,False
32744,2017,Marine LE PEN,Marine LE PEN,True
18797,2017,François FILLON,François FILLON,True
29617,2017,François FILLON,Emmanuel MACRON,False
5027,2017,Marine LE PEN,Marine LE PEN,True
22291,2022,Marine LE PEN,Marine LE PEN,True
4287,2017,Emmanuel MACRON,Emmanuel MACRON,True
17714,2022,Marine LE PEN,Marine LE PEN,True
2453,2022,Marine LE PEN,Marine LE PEN,True
25541,2022,Emmanuel MACRON,Emmanuel MACRON,True
5609,2022,Emmanuel MACRON,Emmanuel MACRON,True
19497,2022,Marine LE PEN,Marine LE PEN,True
9249,2022,Marine LE PEN,Marine LE PEN,True
8650,2022,Marine LE PEN,Marine LE PEN,True
7119,2017,François FILLON,François FILLON,True
19685,2017,François FILLON,François FILLON,True
32847,2017,François FILLON,François FILLON,True
23341,2022,Marine LE PEN,Marine LE PEN,True
9780,2017,Marine LE PEN,Marine LE PEN,True
7036,2017,François FILLON,François FILLON,True
23359,2022,Marine LE PEN,Marine LE PEN,True
16065,2017,Marine LE PEN,Marine LE PEN,True
769,2022,Marine LE PEN,Marine LE PEN,True
28419,2022,Marine LE PEN,Marine LE PEN,True
28058,2017,Emmanuel MACRON,Emmanuel MACRON,True
10592,2022,Emmanuel MACRON,Emmanuel MACRON,True
25859,2022,Emmanuel MACRON,Emmanuel MACRON,True
20730,2017,Marine LE PEN,Marine LE PEN,True
17541,2017,Marine LE PEN,Marine LE PEN,True
8386,2017,Marine LE PEN,Marine LE PEN,True
4513,2017,François FILLON,Emmanuel MACRON,False
30216,2017,Marine LE PEN,Marine LE PEN,True
29586,2022,Emmanuel MACRON,Emmanuel MACRON,True
3982,2017,François ASSELINEAU,Jean-Luc MÉLENCHON,False
9520,2022,Marine LE PEN,Marine LE PEN,True
16473,2022,Emmanuel MACRON,Emmanuel MACRON,True
24007,2022,Marine LE PEN,Marine LE PEN,True
25409,2022,Emmanuel MACRON,Emmanuel MACRON,True
19381,2022,Marine LE PEN,Marine LE PEN,True
34822,2022,Emmanuel MACRON,Emmanuel MACRON,True
10270,2022,Emmanuel MACRON,Emmanuel MACRON,True
30325,2017,Marine LE PEN,Marine LE PEN,True
25593,2017,Emmanuel MACRON,Emmanuel MACRON,True
32383,2017,Marine LE PEN,Marine LE PEN,True
5809,2017,Marine LE PEN,Marine LE PEN,True
17672,2022,Marine LE PEN,Marine LE PEN,True
26379,2017,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
14367,2017,Emmanuel MACRON,Emmanuel MACRON,True
2480,2022,Emmanuel MACRON,Emmanuel MACRON,True
34286,2017,Marine LE PEN,Marine LE PEN,True
17833,2017,François FILLON,Emmanuel MACRON,False
17512,2017,Marine LE PEN,Marine LE PEN,True
7651,2022,Emmanuel MACRON,Emmanuel MACRON,True
32070,2022,Marine LE PEN,Marine LE PEN,True
3536,2022,Marine LE PEN,Marine LE PEN,True
7630,2017,François FILLON,Emmanuel MACRON,False
22840,2022,Marine LE PEN,Marine LE PEN,True
30305,2022,Marine LE PEN,Marine LE PEN,True
7776,2017,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
18962,2017,François FILLON,François FILLON,True
16815,2017,François FILLON,Emmanuel MACRON,False
22090,2017,Emmanuel MACRON,François FILLON,False
16394,2017,Emmanuel MACRON,Emmanuel MACRON,True
17726,2022,Marine LE PEN,Marine LE PEN,True
130,2017,Marine LE PEN,Marine LE PEN,True
12316,2022,Marine LE PEN,Marine LE PEN,True
6073,2022,Emmanuel MACRON,Emmanuel MACRON,True
2598,2022,Marine LE PEN,Marine LE PEN,True
14285,2017,Marine LE PEN,Marine LE PEN,True
32397,2022,Marine LE PEN,Marine LE PEN,True
998,2017,Marine LE PEN,Marine LE PEN,True
352,2022,Marine LE PEN,Marine LE PEN,True
766,2022,Marine LE PEN,Marine LE PEN,True
33503,2017,Marine LE PEN,Marine LE PEN,True
24025,2017,Marine LE PEN,Marine LE PEN,True
16395,2017,François FILLON,Emmanuel MACRON,False
34072,2022,Marine LE PEN,Marine LE PEN,True
20566,2022,Marine LE PEN,Marine LE PEN,True
21371,2022,Marine LE PEN,Marine LE PEN,True
22958,2022,Marine LE PEN,Marine LE PEN,True
10758,2017,François FILLON,François FILLON,True
9068,2022,Marine LE PEN,Marine LE PEN,True
12500,2022,Emmanuel MACRON,Emmanuel MACRON,True
28236,2022,Emmanuel MACRON,Emmanuel MACRON,True
20479,2017,Marine LE PEN,Marine LE PEN,True
25322,2022,Emmanuel MACRON,Emmanuel MACRON,True
6579,2017,Marine LE PEN,Marine LE PEN,True
4391,2017,François FILLON,François FILLON,True
22817,2017,Marine LE PEN,Marine LE PEN,True
18674,2022,Marine LE PEN,Marine LE PEN,True
9808,2022,Marine LE PEN,Marine LE PEN,True
15606,2022,Emmanuel MACRON,Emmanuel MACRON,True
5144,2022,Marine LE PEN,Marine LE PEN,True
33462,2017,Emmanuel MACRON,Emmanuel MACRON,True
30231,2022,Marine LE PEN,Marine LE PEN,True
14180,2022,Marine LE PEN,Marine LE PEN,True
2781,2022,Marine LE PEN,Marine LE PEN,True
3555,2017,Marine LE PEN,Marine LE PEN,True
14655,2017,Emmanuel MACRON,Emmanuel MACRON,True
26718,2022,Marine LE PEN,Marine LE PEN,True
8057,2022,Marine LE PEN,Marine LE PEN,True
17597,2022,Emmanuel MACRON,Emmanuel MACRON,True
16872,2017,Marine LE PEN,Marine LE PEN,True
11715,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
8004,2022,Marine LE PEN,Marine LE PEN,True
28813,2017,Marine LE PEN,Marine LE PEN,True
11035,2022,Emmanuel MACRON,Emmanuel MACRON,True
33485,2022,Emmanuel MACRON,Emmanuel MACRON,True
23443,2022,Marine LE PEN,Marine LE PEN,True
19538,2017,Emmanuel MACRON,François FILLON,False
28891,2022,Emmanuel MACRON,Emmanuel MACRON,True
14536,2017,Emmanuel MACRON,Emmanuel MACRON,True
13696,2017,Marine LE PEN,Marine LE PEN,True
20137,2017,Marine LE PEN,Marine LE PEN,True
15985,2017,Marine LE PEN,Marine LE PEN,True
14786,2022,Emmanuel MACRON,Emmanuel MACRON,True
